Rk,Year,Tm,Lg,Wtm,Ltm,tmW_L,Bat,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,LOB,OPS
1,2021,LAD,NL,106,56,0.654,61,5.12,162,6239,5445,830,1330,247,24,237,799,65,17,613,1408,0.244,0.33,0.429,0.759,2336,96,104,32,45,36,1139,103
2,2020,LAD,NL,43,17,0.717,19,5.82,60,2316,2042,349,523,97,6,118,327,29,8,228,471,0.256,0.338,0.483,0.821,986,46,30,3,12,7,391,119
3,2019,LAD,NL,106,56,0.654,46,5.47,162,6282,5493,886,1414,302,20,279,861,57,10,607,1356,0.257,0.338,0.472,0.81,2593,100,81,55,45,47,1124,111
4,2018,LAD,NL,92,71,0.564,52,4.93,163,6358,5572,804,1394,296,33,235,756,75,24,647,1436,0.25,0.333,0.442,0.774,2461,119,61,39,39,47,1163,109
5,2017,LAD,NL,104,58,0.642,52,4.75,162,6191,5408,770,1347,312,20,221,730,77,28,649,1380,0.249,0.335,0.437,0.771,2362,119,64,31,38,41,1146,104
6,2016,LAD,NL,91,71,0.562,55,4.48,162,6164,5518,725,1376,272,21,189,680,45,26,525,1321,0.249,0.319,0.409,0.728,2257,120,58,30,32,31,1106,95
7,2015,LAD,NL,92,70,0.568,55,4.12,162,6090,5385,667,1346,263,26,187,638,59,34,563,1258,0.25,0.326,0.413,0.739,2222,135,60,49,30,31,1121,106
8,2014,LAD,NL,94,68,0.58,48,4.43,162,6231,5560,718,1476,302,38,134,686,138,50,519,1246,0.266,0.333,0.406,0.738,2256,119,61,47,43,30,1159,110
9,2013,LAD,NL,92,70,0.568,49,4.01,162,6145,5491,649,1447,281,17,138,618,78,28,476,1146,0.264,0.326,0.396,0.722,2176,130,57,71,48,45,1175,103
10,2012,LAD,NL,86,76,0.531,50,3.93,162,6091,5438,637,1369,269,23,116,607,104,44,481,1156,0.252,0.317,0.374,0.69,2032,139,52,82,38,49,1112,91
11,2011,LAD,NL,82,79,0.509,48,4,161,6094,5436,644,1395,237,28,117,613,126,40,498,1087,0.257,0.322,0.375,0.697,2039,101,45,71,43,61,1165,95
12,2010,LAD,NL,80,82,0.494,49,4.12,162,6140,5426,667,1368,270,29,120,621,92,50,533,1184,0.252,0.322,0.379,0.701,2056,123,46,85,50,57,1142,92
13,2009,LAD,NL,95,67,0.586,47,4.81,162,6385,5592,780,1511,278,39,145,739,116,48,607,1068,0.27,0.346,0.412,0.758,2302,141,63,78,44,76,1224,104
14,2008,LAD,NL,84,78,0.519,46,4.32,162,6194,5506,700,1455,271,29,137,659,126,43,543,1032,0.264,0.333,0.399,0.732,2195,153,43,64,38,62,1161,93
15,2007,LAD,NL,82,80,0.506,45,4.54,162,6282,5614,735,1544,276,35,129,706,137,50,511,864,0.275,0.337,0.406,0.743,2277,116,41,58,55,41,1200,91
16,2006,LAD,NL,88,74,0.543,50,5.06,162,6394,5628,820,1552,307,58,153,787,128,49,601,959,0.276,0.348,0.433,0.781,2434,140,51,66,48,61,1223,99
17,2005,LAD,NL,71,91,0.438,44,4.23,162,6134,5433,685,1374,284,21,149,653,58,35,541,1094,0.253,0.326,0.395,0.722,2147,139,67,57,33,30,1135,90
18,2004,LAD,NL,93,69,0.574,43,4.7,162,6244,5542,761,1450,226,30,203,731,102,41,536,1092,0.262,0.332,0.423,0.755,2345,121,62,69,35,45,1152,98
19,2003,LAD,NL,85,77,0.525,44,3.54,162,6036,5458,574,1328,260,25,124,544,80,36,407,985,0.243,0.303,0.368,0.671,2010,121,72,71,28,43,1108,79
20,2002,LAD,NL,92,70,0.568,41,4.4,162,6146,5554,713,1464,286,29,155,693,96,37,428,940,0.264,0.32,0.409,0.729,2273,140,53,67,44,50,1087,98
21,2001,LAD,NL,86,76,0.531,41,4.68,162,6169,5493,758,1399,264,27,206,714,89,42,519,1062,0.255,0.323,0.425,0.748,2335,115,56,57,44,45,1075,99
22,2000,LAD,NL,86,76,0.531,46,4.93,162,6312,5481,798,1408,265,28,211,756,95,42,668,1083,0.257,0.341,0.431,0.771,2362,129,51,66,46,42,1188,99
23,1999,LAD,NL,77,85,0.475,43,4.9,162,6338,5567,793,1480,253,23,187,761,167,68,594,1030,0.266,0.339,0.42,0.76,2340,109,52,74,51,34,1173,96
24,1998,LAD,NL,83,79,0.512,53,4.13,162,6077,5459,669,1374,209,27,159,630,137,53,447,1056,0.252,0.31,0.387,0.698,2114,98,36,91,43,31,1069,87
25,1997,LAD,NL,88,74,0.543,44,4.58,162,6216,5544,742,1488,242,33,174,706,131,64,498,1079,0.268,0.33,0.418,0.749,2318,109,33,105,36,46,1120,101
26,1996,LAD,NL,90,72,0.556,40,4.34,162,6185,5538,703,1396,215,33,150,661,124,40,516,1190,0.252,0.317,0.384,0.701,2127,112,22,74,35,59,1113,90
27,1995,LAD,NL,78,66,0.542,49,4.4,144,5544,4942,634,1303,191,31,140,593,127,45,468,1023,0.264,0.329,0.4,0.729,1976,99,30,68,35,46,1049,99
28,1994,LAD,NL,58,56,0.509,35,4.67,114,4371,3904,532,1055,160,29,115,505,74,37,366,687,0.27,0.333,0.414,0.748,1618,89,19,51,31,33,789,99
29,1993,LAD,NL,81,81,0.5,35,4.17,162,6261,5588,675,1458,234,28,130,639,126,61,492,937,0.261,0.321,0.383,0.704,2138,105,27,107,47,48,1162,93
30,1992,LAD,NL,63,99,0.389,36,3.38,162,6038,5368,548,1333,201,34,72,499,142,78,503,899,0.248,0.313,0.339,0.652,1818,111,24,102,40,36,1138,86
31,1991,LAD,NL,93,69,0.574,39,4.1,162,6159,5408,665,1366,191,29,108,605,126,68,583,957,0.253,0.326,0.359,0.685,1939,109,28,94,46,50,1151,95
32,1990,LAD,NL,86,76,0.531,46,4.49,162,6179,5491,728,1436,222,27,129,669,141,65,538,952,0.262,0.328,0.382,0.711,2099,110,31,71,48,78,1132,98
33,1989,LAD,NL,77,83,0.481,40,3.46,160,6124,5465,554,1313,241,17,89,513,81,54,507,885,0.24,0.306,0.339,0.645,1855,98,27,83,41,77,1171,86
34,1988,LAD,NL,94,67,0.584,38,3.88,162,6045,5431,628,1346,217,25,99,587,131,46,437,947,0.248,0.305,0.352,0.657,1910,118,32,95,50,65,1075,90
35,1987,LAD,NL,73,89,0.451,48,3.92,162,6114,5517,635,1389,236,23,125,594,128,59,445,923,0.252,0.309,0.371,0.68,2046,126,31,82,39,70,1094,81
36,1986,LAD,NL,73,89,0.451,38,3.94,162,6101,5471,638,1373,232,14,130,599,155,67,478,966,0.251,0.313,0.37,0.683,2023,109,32,81,39,58,1083,94
37,1985,LAD,NL,95,67,0.586,41,4.21,162,6224,5502,682,1434,226,28,129,632,136,58,539,846,0.261,0.328,0.382,0.71,2103,108,31,104,46,69,1187,102
38,1984,LAD,NL,79,83,0.488,38,3.58,162,6042,5399,580,1316,213,23,102,530,109,69,488,829,0.244,0.306,0.348,0.654,1881,120,14,92,48,56,1075,86
39,1983,LAD,NL,91,71,0.562,40,4.01,163,6130,5440,654,1358,197,34,146,613,166,76,541,925,0.25,0.318,0.379,0.697,2061,112,22,86,40,61,1104,94
40,1982,LAD,NL,88,74,0.543,39,4.27,162,6361,5642,691,1487,222,32,138,661,151,56,528,804,0.264,0.327,0.388,0.715,2187,98,30,106,55,83,1223,102
41,1981,LAD,NL,63,47,0.573,37,4.09,110,4189,3751,450,984,133,20,82,427,73,46,331,550,0.262,0.323,0.374,0.697,1403,83,17,62,27,38,776,101
42,1980,LAD,NL,92,71,0.564,35,4.07,163,6221,5568,663,1462,209,24,148,638,123,72,492,846,0.263,0.323,0.389,0.711,2163,108,24,96,41,52,1173,99
43,1979,LAD,NL,79,83,0.488,35,4.56,162,6188,5490,739,1443,220,24,183,713,106,46,556,834,0.263,0.331,0.412,0.743,2260,145,23,83,36,62,1111,103
44,1978,LAD,NL,95,67,0.586,38,4.49,162,6225,5437,727,1435,251,27,149,686,137,52,610,818,0.264,0.338,0.402,0.74,2187,101,20,111,47,76,1214,108
45,1977,LAD,NL,98,64,0.605,37,4.75,162,6328,5589,769,1484,223,28,191,729,114,62,588,896,0.266,0.336,0.418,0.754,2336,103,23,83,44,67,1183,102
46,1976,LAD,NL,92,70,0.568,37,3.75,162,6125,5472,608,1371,200,34,91,561,144,55,486,744,0.251,0.313,0.349,0.662,1912,129,29,91,47,71,1138,90
47,1975,LAD,NL,88,74,0.543,37,4,162,6246,5453,648,1355,217,31,118,606,138,52,611,825,0.249,0.325,0.365,0.69,1988,123,31,104,47,72,1208,96
48,1974,LAD,NL,102,60,0.63,35,4.93,162,6332,5557,798,1511,231,34,139,744,149,75,597,820,0.272,0.342,0.401,0.743,2227,117,28,86,64,95,1192,112
49,1973,LAD,NL,95,66,0.59,33,4.17,162,6267,5604,675,1473,219,29,110,623,109,50,497,795,0.263,0.323,0.371,0.694,2080,123,28,81,57,92,1163,96
50,1972,LAD,NL,85,70,0.548,36,3.77,155,5904,5270,584,1349,178,39,98,543,82,39,480,786,0.256,0.319,0.36,0.679,1899,121,24,89,40,53,1124,95
