Rk,Year,Tm,Lg,Wtm,Ltm,tmW_L,W,L,W-L,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO_W,ERA
1,2021,LAD,NL,106,56,0.654,106,56,0.654,3.03,162,162,161,1,0,56,1452,1107,561,489,161,486,43,1599,63,9,52,5948,1.097,6.9,1,3,9.9,3.29,136
2,2020,LAD,NL,43,17,0.717,43,17,0.717,3.02,60,60,60,0,0,15,538.2,424,213,181,66,145,4,517,21,0,24,2172,1.056,7.1,1.1,2.4,8.6,3.57,146
3,2019,LAD,NL,106,56,0.654,106,56,0.654,3.39,162,162,159,3,1,44,1445.2,1201,613,545,185,392,24,1519,66,7,40,5913,1.102,7.5,1.2,2.4,9.5,3.88,123
4,2018,LAD,NL,92,71,0.564,92,71,0.564,3.4,163,163,163,0,0,48,1476,1279,610,557,179,422,39,1565,61,10,39,6096,1.152,7.8,1.1,2.6,9.5,3.71,115
5,2017,LAD,NL,104,58,0.642,104,58,0.642,3.38,162,162,160,2,0,51,1444.2,1226,580,543,184,442,33,1549,40,10,40,5925,1.155,7.6,1.1,2.8,9.6,3.5,123
6,2016,LAD,NL,91,71,0.562,91,71,0.562,3.7,162,162,159,3,3,47,1453.1,1266,638,598,165,464,51,1510,53,5,58,6014,1.19,7.8,1,2.9,9.4,3.25,109
7,2015,LAD,NL,92,70,0.568,92,70,0.568,3.46,162,162,156,6,3,47,1445.2,1317,595,555,145,395,32,1396,38,10,52,5932,1.184,8.2,0.9,2.5,8.7,3.53,107
8,2014,LAD,NL,94,68,0.58,94,68,0.58,3.4,162,162,155,7,3,47,1464.2,1338,617,554,142,429,35,1373,41,4,64,6075,1.206,8.2,0.9,2.6,8.4,3.2,103
9,2013,LAD,NL,92,70,0.568,92,70,0.568,3.25,162,162,155,7,4,46,1450.1,1321,582,524,127,460,44,1292,43,3,66,6032,1.228,8.2,0.8,2.9,8,2.81,110
10,2012,LAD,NL,86,76,0.531,86,76,0.531,3.35,162,162,160,2,2,40,1450,1277,597,540,122,539,62,1276,45,2,46,6068,1.252,7.9,0.8,3.3,7.9,2.37,114
11,2011,LAD,NL,82,79,0.509,82,79,0.509,3.56,161,161,154,7,2,40,1432.1,1287,612,567,132,507,48,1265,43,7,50,5997,1.253,8.1,0.8,3.2,7.9,2.5,104
12,2010,LAD,NL,80,82,0.494,80,82,0.494,4.01,162,162,158,4,4,41,1441.2,1323,692,643,134,539,75,1274,58,8,58,6141,1.292,8.3,0.8,3.4,8,2.36,97
13,2009,LAD,NL,95,67,0.586,95,67,0.586,3.41,162,162,161,1,1,44,1473.1,1265,611,559,127,584,68,1272,57,2,76,6182,1.255,7.7,0.8,3.6,7.8,2.18,118
14,2008,LAD,NL,84,78,0.519,84,78,0.519,3.68,162,162,157,5,4,35,1447.1,1381,648,592,123,480,58,1205,48,4,47,6127,1.286,8.6,0.8,3,7.5,2.51,114
15,2007,LAD,NL,82,80,0.506,82,80,0.506,4.2,162,162,158,4,0,43,1450,1443,727,677,146,518,34,1184,38,5,44,6196,1.352,9,0.9,3.2,7.3,2.29,106
16,2006,LAD,NL,88,74,0.543,88,74,0.543,4.23,162,162,161,1,0,40,1460.1,1524,751,686,152,492,40,1068,41,8,54,6289,1.381,9.4,0.9,3,6.6,2.17,107
17,2005,LAD,NL,71,91,0.438,71,91,0.438,4.38,162,162,156,6,4,40,1427.2,1434,755,695,182,471,34,1004,64,6,36,6113,1.334,9,1.1,3,6.3,2.13,94
18,2004,LAD,NL,93,69,0.574,93,69,0.574,4.01,162,162,160,2,2,51,1453.1,1386,684,647,178,521,47,1066,54,2,43,6155,1.312,8.6,1.1,3.2,6.6,2.05,103
19,2003,LAD,NL,85,77,0.525,85,77,0.525,3.16,162,162,159,3,3,58,1457.2,1254,556,511,127,526,35,1289,40,5,50,6001,1.221,7.7,0.8,3.2,8,2.45,128
20,2002,LAD,NL,92,70,0.568,92,70,0.568,3.69,162,162,158,4,2,56,1457.2,1311,643,598,165,555,45,1132,46,3,33,6139,1.28,8.1,1,3.4,7,2.04,103
21,2001,LAD,NL,86,76,0.531,86,76,0.531,4.25,162,162,159,3,1,46,1450.2,1387,744,685,184,524,37,1212,72,11,44,6201,1.317,8.6,1.1,3.3,7.5,2.31,94
22,2000,LAD,NL,86,76,0.531,86,76,0.531,4.1,162,162,153,9,3,36,1445,1379,729,659,176,600,22,1154,75,6,60,6249,1.37,8.6,1.1,3.7,7.2,1.92,106
23,1999,LAD,NL,77,85,0.475,77,85,0.475,4.45,162,162,154,8,3,37,1453,1438,787,718,192,594,26,1077,62,9,53,6317,1.398,8.9,1.2,3.7,6.7,1.81,97
24,1998,LAD,NL,83,79,0.512,83,79,0.512,3.81,162,162,146,16,6,47,1447.1,1332,678,612,135,587,26,1178,56,9,46,6168,1.326,8.3,0.8,3.7,7.3,2.01,106
25,1997,LAD,NL,88,74,0.543,88,74,0.543,3.63,162,162,156,6,1,45,1459.2,1325,645,588,163,546,36,1232,45,14,36,6191,1.282,8.2,1,3.4,7.6,2.26,107
26,1996,LAD,NL,90,72,0.556,90,72,0.556,3.48,162,162,156,6,4,50,1466.1,1378,652,567,125,534,66,1212,39,22,39,6223,1.304,8.5,0.8,3.3,7.4,2.27,112
27,1995,LAD,NL,78,66,0.542,78,66,0.542,3.67,144,144,128,16,9,37,1295,1188,609,528,125,462,45,1060,37,12,49,5481,1.274,8.3,0.9,3.2,7.4,2.29,103
28,1994,LAD,NL,58,56,0.509,58,56,0.509,4.17,114,114,100,14,4,20,1014,1041,509,470,90,354,36,732,33,7,42,4369,1.376,9.2,0.8,3.1,6.5,2.07,95
29,1993,LAD,NL,81,81,0.5,81,81,0.5,3.5,162,162,145,17,6,36,1472.2,1406,662,573,103,567,68,1043,37,20,47,6274,1.34,8.6,0.6,3.5,6.4,1.84,109
30,1992,LAD,NL,63,99,0.389,63,99,0.389,3.41,162,162,144,18,11,29,1438.1,1401,636,545,82,553,95,981,28,10,64,6192,1.359,8.8,0.5,3.5,6.1,1.77,102
31,1991,LAD,NL,93,69,0.574,93,69,0.574,3.07,162,162,147,15,7,40,1458,1312,565,497,96,500,77,1028,28,12,48,6089,1.243,8.1,0.6,3.1,6.3,2.06,117
32,1990,LAD,NL,86,76,0.531,86,76,0.531,3.74,162,162,133,29,12,29,1442,1364,685,599,137,478,49,1021,28,10,63,6082,1.277,8.5,0.9,3,6.4,2.14,99
33,1989,LAD,NL,77,83,0.481,77,83,0.481,2.95,160,160,135,25,14,36,1463.2,1278,536,479,95,504,73,1052,27,14,53,6034,1.217,7.9,0.6,3.1,6.5,2.09,117
34,1988,LAD,NL,94,67,0.584,94,67,0.584,2.96,162,162,130,32,15,49,1463.1,1291,544,482,84,473,61,1029,22,30,43,6050,1.205,7.9,0.5,2.9,6.3,2.18,114
35,1987,LAD,NL,73,89,0.451,73,89,0.451,3.72,162,162,133,29,7,32,1455,1415,675,601,130,565,62,1097,28,18,54,6238,1.361,8.8,0.8,3.5,6.8,1.94,108
36,1986,LAD,NL,73,89,0.451,73,89,0.451,3.76,162,162,127,35,7,25,1454.1,1428,679,608,115,499,79,1051,26,10,51,6199,1.325,8.8,0.7,3.1,6.5,2.11,92
